appType;framework;clientOptions;testFramework;db;languageLevel
"client";"React";"redux";"karma";;;
"server";;;;"MySQL";"7";
"client";"Angular JS";"ng-router";"karma";;;
"client";"Angular 4";;"karma";;;
"client";"Vue";;"karma";;;
"client";"React";"mobx";"karma";;;
"client";"React";false;"karma";;;
"client";"React";"redux";"gatling";;;
"client";"React";"redux";"protractor";;;
"client";"React";"mobx";"gatling";;;
"client";"React";"mobx";"protractor";;;
"client";"React";false;"gatling";;;
"client";"React";false;"protractor";;;
"client";"Angular JS";"Custom router";"karma";;;
"client";"Angular JS";false;"karma";;;
"client";"Angular JS";"ng-router";"gatling";;;
"client";"Angular JS";"ng-router";"protractor";;;
"client";"Angular JS";"Custom router";"gatling";;;
"client";"Angular JS";"Custom router";"protractor";;;
"client";"Angular JS";false;"gatling";;;
"client";"Angular JS";false;"protractor";;;
"client";"Angular 4";;"gatling";;;
"client";"Angular 4";;"protractor";;;
"client";"Vue";;"gatling";;;
"client";"Vue";;"protractor";;;
"server";;;;"Postgres";"7";
"server";;;;"MariaDB";"7";
"server";;;;"MySQL";"8";
"server";;;;"Postgres";"8";
"server";;;;"MariaDB";"8";
