promptValues;jhipsterVersion;baseName;packageName;packageFolder;serverPort;authenticationType;hibernateCache;clusteredHttpSession;websocket;databaseType;devDatabaseType;prodDatabaseType;searchEngine;messageBroker;serviceDiscoveryType;buildTool;enableSocialSignIn;enableSwaggerCodegen;jwtSecretKey;enableTranslation;applicationType;testFrameworks;jhiPrefix;skipClient;skipUserManagement;nativeLanguage;languages;clientPackageManager;__time
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"jwt";"no";false;false;"no";"no";"no";false;false;"eureka";"maven";false;true;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";635;
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"jwt";"no";false;false;"no";"no";"no";false;false;"consul";"maven";false;true;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";58;
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"jwt";"no";false;false;"no";"no";"no";false;false;false;"maven";false;true;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";58;
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"uaa";"no";false;false;"no";"no";"no";false;false;"eureka";"maven";false;true;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";76;
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"jwt";"ehcache";false;false;"sql";"h2Disk";"mysql";"elasticsearch";false;"eureka";"maven";false;false;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";44;
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"jwt";"no";false;false;"mongodb";"mongodb";"mongodb";false;false;"eureka";"maven";false;true;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";43;
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"jwt";"no";false;false;"cassandra";"cassandra";"cassandra";false;false;"eureka";"maven";false;true;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";59;
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"jwt";"no";false;false;"no";"no";"no";false;false;"eureka";"gradle";false;true;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";51;
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"jwt";"no";false;false;"no";"no";"no";false;"kafka";"eureka";"maven";false;false;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";75;
"{"packageName":"foo","nativeLanguage":"en"}";"4.8.2";"foo";"foo";"foo";8080;"jwt";"no";false;false;"no";"no";"no";false;"kafka";"eureka";"maven";false;true;"aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj";true;"microservice";gatling,cucumber,protractor;"jhi";true;true;"en";en;"yarn";51;
