promptValues;jhipsterVersion;baseName;packageName;packageFolder;serverPort;authenticationType;hibernateCache;clusteredHttpSession;websocket;databaseType;devDatabaseType;prodDatabaseType;searchEngine;messageBroker;serviceDiscoveryType;buildTool;enableSocialSignIn;enableSwaggerCodegen;jwtSecretKey;enableTranslation;applicationType;testFrameworks;jhiPrefix;skipClient;nativeLanguage;languages;clientPackageManager;__time
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;ehcache;false;false;sql;h2Disk;mysql;elasticsearch;false;eureka;maven;false;false;aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;604
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;ehcache;false;false;sql;h2Disk;mysql;elasticsearch;false;consul;maven;false;false;;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;49
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;ehcache;false;false;sql;h2Disk;mysql;elasticsearch;false;false;maven;false;false;;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;50
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;no;false;false;mongodb;mongodb;mongodb;false;false;eureka;maven;false;true;aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;41
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;no;false;false;cassandra;cassandra;cassandra;false;false;eureka;maven;false;true;aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;39
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;ehcache;false;false;sql;h2Disk;mariadb;elasticsearch;false;eureka;maven;false;false;aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;48
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;ehcache;false;false;sql;h2Disk;postgresql;elasticsearch;false;eureka;maven;false;false;aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;51
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;ehcache;false;false;sql;h2Disk;oracle;elasticsearch;false;eureka;maven;false;false;aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;61
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;ehcache;false;false;sql;h2Disk;mssql;elasticsearch;false;eureka;maven;false;false;aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;63
"{""packageName"":""foo"",""nativeLanguage"":""en""}";4.8.2;foo;foo;foo;8080;uaa;ehcache;false;false;sql;h2Memory;mysql;elasticsearch;false;eureka;maven;false;false;aaaabbbbccccddddeeeeffffgggghhhhiiiijjjj;true;uaa;gatling,cucumber,protractor;jhi;true;en;en;yarn;68
